name,population
Afghanistan,22720000
Angola,12878000
Argentina,37032000
Australia,18886000
Austria,8091800
Belgium,10239000
"Burkina Faso",11937000
Bangladesh,129155000
Bulgaria,8190900
Belarus,10236000
Bolivia,8329000
Brazil,170115000
Canada,31147000
Chile,15211000
China,1277558000
"Côte d’Ivoire",14786000
Cameroon,15085000
"Congo, The Democratic Republic of the",51654000
Colombia,42321000
Cuba,11201000
"Czech Republic",10278100
Germany,82164700
"Dominican Republic",8495000
Algeria,31471000
Ecuador,12646000
Egypt,68470000
Spain,39441700
Ethiopia,62565000
France,59225700
"United Kingdom",59623400
Ghana,20212000
Greece,10545700
Guatemala,11385000
Haiti,8222000
Hungary,10043200
Indonesia,212107000
India,1013662000
Iran,67702000
Iraq,23115000
Italy,57680000
Japan,126714000
Kazakstan,16223000
Kenya,30080000
Cambodia,11168000
"South Korea",46844000
"Sri Lanka",18827000
Morocco,28351000
Madagascar,15942000
Mexico,98881000
Mali,11234000
Myanmar,45611000
Mozambique,19680000
Malawi,10925000
Malaysia,22244000
Niger,10730000
Nigeria,111506000
Netherlands,15864000
Nepal,23930000
Pakistan,156483000
Peru,25662000
Philippines,75967000
Poland,38653600
"North Korea",24039000
Portugal,9997600
Romania,22455500
"Russian Federation",146934000
"Saudi Arabia",21607000
Sudan,29490000
Senegal,9481000
Somalia,10097000
Sweden,8861400
Syria,16125000
Thailand,61399000
Tunisia,9586000
Turkey,66591000
Taiwan,22256000
Tanzania,33517000
Uganda,21778000
Ukraine,50456000
"United States",278357000
Uzbekistan,24318000
Venezuela,24170000
Vietnam,79832000
Yemen,18112000
Yugoslavia,10640000
"South Africa",40377000
Zambia,9169000
Zimbabwe,11669000
